hole_number,diameter_mm,h_m,l_m,a_m,b_m,q_kg_m3,charge_weight_calc_kg,primer_weight_kg,explosive_weight_kg,total_charge_weight_kg,capacity_kg_m,charge_length_m,stemming_length_m,subdrilling_m,drill_passport
6013,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6014,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6015,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6016,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6017,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6018,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6019,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6020,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6021,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6022,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6023,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6024,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
