drill_passport,depth_m,litology_code
605-E230725_P_B_9.B,0.2,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.21,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.22,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.23,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.24,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.25,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.26,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.27,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.28,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.29,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.3,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.31,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.32,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.33,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.34,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.35,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.36,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.37,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.38,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.39,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.4,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.41,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.42,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.43,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.44,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.45,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.46,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.47,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.48,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.49,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.5,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.51,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.52,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.53,mica-quartz_carbonate_massive_rocks
