drill_passport,depth_from,depth_to,litology_code
630-E030525_P_B_1.B,0.62,0.63,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.63,0.64,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.64,0.65,quartz-mica foliated schists
630-E030525_P_B_1.B,0.65,0.66,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.66,0.69,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.69,0.7,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.7,0.71,quartz-mica foliated schists
630-E030525_P_B_1.B,0.71,0.72,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.72,0.75,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.75,0.77,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.77,0.81,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.81,0.82,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.82,0.83,quartz-mica foliated schists
630-E030525_P_B_1.B,0.83,0.85,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.85,0.9,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.9,0.91,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.91,0.92,quartz-mica foliated schists
630-E030525_P_B_1.B,0.92,0.93,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.93,0.96,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.96,0.97,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.97,0.99,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.99,1.03,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,1.03,1.04,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,1.04,1.06,quartz-mica foliated schists
630-E030525_P_B_1.B,1.06,1.07,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,1.07,1.25,quartz-mica foliated schists
630-E040625_P_B_4.A,-3.07,-1.66,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.66,-1.65,fault_zone
630-E040625_P_B_4.A,-1.65,-1.17,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.17,-1.16,fault_zone
630-E040625_P_B_4.A,-1.16,-1.0,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.0,-0.9,fault_zone
630-E040625_P_B_4.A,-0.9,1.22,carbonized_quartz-mica_hornfels_shists
